orb_time,rr,sl_mode,filter_set,trades,wins,losses,wr,total_r,avg_r
1000,4.0,FULL,MAX_STOP_100_TP_CAP_150,390,95,295,24.358974358974358,85.0,0.21794871794871795
1100,1.0,HALF,BASELINE,508,294,214,57.874015748031496,80.0,0.15748031496062992
1100,1.0,HALF,MAX_STOP_100,469,265,204,56.50319829424307,61.0,0.1300639658848614
1100,1.0,HALF,MAX_STOP_100_TP_CAP_150,469,265,204,56.50319829424307,61.0,0.1300639658848614
1100,1.0,FULL,BASELINE,502,326,176,64.9402390438247,150.0,0.29880478087649404
1100,1.0,FULL,MAX_STOP_100,465,302,163,64.94623655913978,139.0,0.2989247311827957
1100,1.0,FULL,MAX_STOP_100_TP_CAP_150,465,302,163,64.94623655913978,139.0,0.2989247311827957
1100,1.5,HALF,BASELINE,505,243,262,48.118811881188115,102.5,0.20297029702970298
1100,1.5,HALF,MAX_STOP_100,466,220,246,47.21030042918455,84.0,0.18025751072961374
1100,1.5,HALF,MAX_STOP_100_TP_CAP_150,466,220,246,47.21030042918455,84.0,0.18025751072961374
1100,1.5,FULL,BASELINE,494,249,245,50.40485829959515,128.5,0.2601214574898785
1100,1.5,FULL,MAX_STOP_100,459,231,228,50.326797385620914,118.5,0.2581699346405229
1100,1.5,FULL,MAX_STOP_100_TP_CAP_150,459,231,228,50.326797385620914,118.5,0.2581699346405229
1100,2.0,HALF,BASELINE,505,204,301,40.396039603960396,107.0,0.21188118811881188
1100,2.0,HALF,MAX_STOP_100,466,186,280,39.91416309012876,92.0,0.19742489270386265
1100,2.0,HALF,MAX_STOP_100_TP_CAP_150,466,186,280,39.91416309012876,92.0,0.19742489270386265
1100,2.0,FULL,BASELINE,489,207,282,42.331288343558285,132.0,0.26993865030674846
1100,2.0,FULL,MAX_STOP_100,456,195,261,42.76315789473684,129.0,0.28289473684210525
1100,2.0,FULL,MAX_STOP_100_TP_CAP_150,422,180,242,42.65402843601896,118.0,0.2796208530805687
1100,2.5,HALF,BASELINE,504,184,320,36.507936507936506,140.0,0.2777777777777778
1100,2.5,HALF,MAX_STOP_100,465,167,298,35.913978494623656,119.5,0.256989247311828
1100,2.5,HALF,MAX_STOP_100_TP_CAP_150,465,167,298,35.913978494623656,119.5,0.256989247311828
1100,2.5,FULL,BASELINE,475,169,306,35.578947368421055,116.5,0.24526315789473685
1100,2.5,FULL,MAX_STOP_100,444,159,285,35.810810810810814,112.5,0.2533783783783784
1100,2.5,FULL,MAX_STOP_100_TP_CAP_150,380,132,248,34.73684210526316,82.0,0.21578947368421053
1100,3.0,HALF,BASELINE,503,159,344,31.610337972166995,133.0,0.2644135188866799
1100,3.0,HALF,MAX_STOP_100,464,143,321,30.81896551724138,108.0,0.23275862068965517
1100,3.0,HALF,MAX_STOP_100_TP_CAP_150,464,143,321,30.81896551724138,108.0,0.23275862068965517
1100,3.0,FULL,BASELINE,460,141,319,30.65217391304348,104.0,0.22608695652173913
1100,3.0,FULL,MAX_STOP_100,433,136,297,31.40877598152425,111.0,0.25635103926096997
1100,3.0,FULL,MAX_STOP_100_TP_CAP_150,350,106,244,30.28571428571429,74.0,0.21142857142857144
1100,3.5,HALF,BASELINE,500,134,366,26.8,103.0,0.206
1100,3.5,HALF,MAX_STOP_100,462,123,339,26.623376623376622,91.5,0.19805194805194806
1100,3.5,HALF,MAX_STOP_100_TP_CAP_150,439,116,323,26.42369020501139,83.0,0.18906605922551253
1100,3.5,FULL,BASELINE,446,117,329,26.23318385650224,80.5,0.1804932735426009
1100,3.5,FULL,MAX_STOP_100,421,115,306,27.315914489311165,96.5,0.22921615201900236
1100,3.5,FULL,MAX_STOP_100_TP_CAP_150,305,80,225,26.229508196721312,55.0,0.18032786885245902
1100,4.0,HALF,BASELINE,499,128,371,25.651302605210418,141.0,0.28256513026052105
1100,4.0,HALF,MAX_STOP_100,462,118,344,25.541125541125542,128.0,0.27705627705627706
1100,4.0,HALF,MAX_STOP_100_TP_CAP_150,426,109,317,25.586854460093893,119.0,0.2793427230046948
1100,4.0,FULL,BASELINE,428,94,334,21.962616822429908,42.0,0.09813084112149532
1100,4.0,FULL,MAX_STOP_100,403,92,311,22.8287841191067,57.0,0.141439205955335
1100,4.0,FULL,MAX_STOP_100_TP_CAP_150,267,61,206,22.846441947565545,38.0,0.14232209737827714
1800,1.0,HALF,BASELINE,499,270,229,54.10821643286573,41.0,0.08216432865731463
1800,1.0,HALF,MAX_STOP_100,489,262,227,53.578732106339466,35.0,0.07157464212678936
