config,filter_name,rr,sl_mode,trades,wins,losses,wr,total_r,avg_r,expectancy
NY_HIGH_DIR_RR2.0_SLHALF,NY_HIGH_DIR,2.0,HALF,360,137,223,38.05555555555556,51.0,0.14166666666666666,0.14166666666666672
ASIA_NORMAL_NY_HIGH_RR1.0_SLFULL,ASIA_NORMAL_NY_HIGH,1.0,FULL,149,100,49,67.11409395973155,51.0,0.3422818791946309,0.34228187919463093
ASIA_NORMAL_RR4.0_SLHALF,ASIA_NORMAL,4.0,HALF,203,50,153,24.63054187192118,47.0,0.2315270935960591,0.23152709359605916
ASIA_NORMAL_SMALL_ORB_RR3.0_SLFULL,ASIA_NORMAL_SMALL_ORB,3.0,FULL,98,36,62,36.734693877551024,46.0,0.46938775510204084,0.469387755102041
ASIA_NORMAL_SMALL_ORB_RR2.0_SLFULL,ASIA_NORMAL_SMALL_ORB,2.0,FULL,98,48,50,48.97959183673469,46.0,0.46938775510204084,0.4693877551020408
ASIA_NORMAL_WIDE_RR4.0_SLHALF,ASIA_NORMAL_WIDE,4.0,HALF,294,68,226,23.12925170068027,46.0,0.1564625850340136,0.15646258503401356
ASIA_NORMAL_RR3.0_SLHALF,ASIA_NORMAL,3.0,HALF,203,62,141,30.541871921182267,45.0,0.22167487684729065,0.2216748768472906
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR1.5_SLFULL,ASIA_NORMAL_NY_HIGH_SKIP_LOW,1.5,FULL,68,45,23,66.17647058823529,44.5,0.6544117647058824,0.6544117647058824
NY_HIGH_DIR_RR1.5_SLHALF,NY_HIGH_DIR,1.5,HALF,360,161,199,44.72222222222222,42.5,0.11805555555555555,0.11805555555555547
ASIA_NORMAL_SMALL_ORB_RR1.0_SLFULL,ASIA_NORMAL_SMALL_ORB,1.0,FULL,98,70,28,71.42857142857143,42.0,0.42857142857142855,0.4285714285714286
ASIA_NORMAL_SMALL_ORB_RR4.0_SLFULL,ASIA_NORMAL_SMALL_ORB,4.0,FULL,98,28,70,28.57142857142857,42.0,0.42857142857142855,0.4285714285714285
ASIA_NORMAL_SMALL_ORB_RR2.5_SLFULL,ASIA_NORMAL_SMALL_ORB,2.5,FULL,98,40,58,40.816326530612244,42.0,0.42857142857142855,0.4285714285714286
ASIA_NORMAL_WIDE_RR1.5_SLHALF,ASIA_NORMAL_WIDE,1.5,HALF,294,134,160,45.57823129251701,41.0,0.13945578231292516,0.13945578231292532
BASELINE_RR1.0_SLHALF,BASELINE,1.0,HALF,501,270,231,53.89221556886228,39.0,0.07784431137724551,0.07784431137724557
