date_local,orb,direction,entry_ts,entry_price,stop_price,target_price,stop_ticks,orb_range_ticks,outcome,r_multiple,entry_delay_bars,mae_r,mfe_r,close_confirmations,rr,sl_mode,buffer_ticks
2024-02-20,1800,DOWN,2024-02-20 18:10:00,2032.2,2032.5,2031.3999999999999,2.9999999999995453,4.0000000000009095,LOSS,-0.7499999999997158,1,4.333333333333838,0.0,1,2.0,half,0.0
2024-02-21,1800,DOWN,2024-02-21 18:25:00,2038.5,2039.4,2036.5,9.00000000000091,10.0,LOSS,-0.900000000000091,4,1.1111111111109988,1.6666666666664982,1,2.0,half,0.0
2024-02-22,1800,UP,2024-02-22 18:10:00,2044.2,2041.85,2045.6000000000001,23.500000000001364,7.000000000000455,LOSS,-3.357142857142834,1,1.1489361702127185,0.29787234042553395,1,2.0,half,0.0
2024-02-23,1800,DOWN,2024-02-23 18:10:00,2030.0,2031.65,2028.6,16.50000000000091,7.000000000000455,WIN,2.0,1,0.6666666666665748,1.030303030303001,1,2.0,half,0.0
2024-02-26,1800,UP,2024-02-26 18:15:00,2045.0,2044.1,2046.6,9.00000000000091,7.999999999999545,WIN,2.0,2,0.2222222222222503,1.777777777777497,1,2.0,half,0.0
2024-02-27,1800,UP,2024-02-27 18:15:00,2045.5,2044.85,2047.2999999999997,6.5000000000009095,8.999999999998636,WIN,2.0,2,0.0,3.5384615384609734,1,2.0,half,0.0
2024-02-28,1800,UP,2024-02-28 18:10:00,2037.7,2036.8000000000002,2039.3,8.999999999998636,7.999999999999545,LOSS,-1.1249999999998934,1,1.0000000000002527,0.5555555555556397,1,2.0,half,0.0
2024-02-29,1800,DOWN,2024-02-29 18:10:00,2044.0,2045.35,2042.6,13.49999999999909,7.000000000000455,LOSS,-1.9285714285711733,1,1.2592592592593779,0.0,1,2.0,half,0.0
2024-03-01,1800,DOWN,2024-03-01 18:10:00,2051.7,2053.25,2049.0999999999995,15.500000000001819,13.000000000001819,WIN,2.0,1,0.12903225806467702,2.193548387096282,1,2.0,half,0.0
2024-03-04,1800,DOWN,2024-03-04 18:15:00,2094.2,2095.6499999999996,2092.0,14.499999999998181,10.99999999999909,WIN,2.0,2,0.20689655172428933,1.6551724137930601,1,2.0,half,0.0
2024-03-05,1800,UP,2024-03-05 18:10:00,2127.2,2123.75,2130.999999999999,34.49999999999818,18.999999999996362,WIN,2.0,1,0.17391304347824368,1.3333333333335091,1,2.0,half,0.0
2024-03-06,1800,UP,2024-03-06 18:10:00,2136.5,2135.5,2140.1000000000004,10.0,18.00000000000182,LOSS,-0.5555555555554994,1,2.0,0.8000000000001819,1,2.0,half,0.0
2024-03-07,1800,UP,2024-03-07 18:20:00,2164.6,2163.45,2167.1999999999994,11.50000000000091,12.999999999997272,WIN,2.0,3,0.17391304347808895,2.2608695652171336,1,2.0,half,0.0
2024-03-08,1800,UP,2024-03-08 18:10:00,2170.7,2168.55,2172.1000000000004,21.499999999996362,7.0000000000027285,WIN,2.0,1,0.6046511627906731,1.2558139534887114,1,2.0,half,0.0
2024-03-11,1800,DOWN,2024-03-11 18:15:00,2186.8,2188.8,2183.6000000000004,20.0,15.99999999999909,WIN,2.0,2,0.6499999999998636,1.8500000000001364,1,2.0,half,0.0
2024-03-12,1800,DOWN,2024-03-12 18:45:00,2182.3,2183.2,2180.7000000000007,8.999999999996362,7.9999999999972715,LOSS,-1.124999999999929,8,1.2222222222226151,0.0,1,2.0,half,0.0
2024-03-13,1800,DOWN,2024-03-13 18:10:00,2164.3,2165.75,2161.3,14.499999999998181,15.0,LOSS,-0.9666666666665454,1,1.5862068965517349,0.9655172413794942,1,2.0,half,0.0
2024-03-14,1800,UP,2024-03-14 18:20:00,2173.9,2172.9,2175.5000000000005,10.0,8.000000000001819,LOSS,-1.2499999999997158,3,1.0,0.5,1,2.0,half,0.0
2024-03-15,1800,DOWN,2024-03-15 18:10:00,2170.1,2171.3,2167.6999999999994,12.000000000002728,12.000000000002728,LOSS,-1.0,1,1.2499999999997158,0.49999999999981054,1,2.0,half,0.0
2024-03-18,1800,UP,2024-03-18 18:10:00,2156.1,2154.6499999999996,2159.9,14.500000000002728,19.00000000000091,WIN,2.0,1,0.758620689654967,2.620689655172046,1,2.0,half,0.0
2024-03-19,1800,DOWN,2024-03-19 18:10:00,2155.2,2158.6499999999996,2153.0,34.49999999999818,10.99999999999909,WIN,2.0,1,0.08695652173918775,1.1594202898551336,1,2.0,half,0.0
2024-03-20,1800,DOWN,2024-03-20 18:10:00,2157.9,2160.15,2154.5000000000005,22.5,16.99999999999818,WIN,2.0,1,0.8444444444444849,1.5999999999999597,1,2.0,half,0.0
2024-03-21,1800,DOWN,2024-03-21 18:10:00,2206.7,2208.2,2203.5,15.0,15.99999999999909,LOSS,-0.9375000000000533,1,1.0666666666669091,0.1999999999998181,1,2.0,half,0.0
2024-03-22,1800,DOWN,2024-03-22 18:10:00,2168.2,2169.8999999999996,2165.0,16.99999999999818,15.99999999999909,LOSS,-1.0624999999999467,1,1.058823529411985,1.117647058823435,1,2.0,half,0.0
2024-03-25,1800,UP,2024-03-25 18:10:00,2168.8,2167.1000000000004,2173.6000000000004,16.99999999999818,24.00000000000091,LOSS,-0.7083333333332307,1,1.058823529411985,0.1764705882351525,1,2.0,half,0.0
2024-03-26,1800,UP,2024-03-26 18:10:00,2174.2,2172.85,2177.2,13.49999999999909,15.0,WIN,2.0,1,0.14814814814802338,2.444444444444744,1,2.0,half,0.0
2024-03-27,1800,UP,2024-03-27 18:10:00,2202.0,2201.25,2203.3999999999996,7.5,6.999999999998181,LOSS,-1.0714285714288498,1,2.7999999999998786,1.7333333333335759,1,2.0,half,0.0
2024-03-28,1800,UP,2024-03-28 18:20:00,2215.0,2212.6499999999996,2221.2,23.500000000003638,30.99999999999909,WIN,2.0,3,0.8936170212764187,2.7659574468080823,1,2.0,half,0.0
2024-04-01,1800,DOWN,2024-04-01 18:45:00,2276.9,2278.95,2271.9,20.49999999999727,25.0,LOSS,-0.8199999999998908,8,1.024390243902531,0.09756097560990218,1,2.0,half,0.0
2024-04-02,1800,UP,2024-04-02 18:10:00,2282.5,2277.6499999999996,2286.7,48.50000000000364,20.99999999999909,WIN,2.0,1,0.43298969072159826,1.030927835051469,1,2.0,half,0.0
2024-04-03,1800,DOWN,2024-04-03 18:10:00,2289.7,2290.75,2286.7,10.500000000001819,15.0,LOSS,-0.7000000000001213,1,1.428571428571181,0.666666666666378,1,2.0,half,0.0
2024-04-04,1800,UP,2024-04-04 18:10:00,2313.2,2311.95,2316.6000000000004,12.5,17.00000000000273,LOSS,-0.7352941176469409,1,1.3599999999998544,0.0,1,2.0,half,0.0
2024-04-05,1800,DOWN,2024-04-05 18:20:00,2307.2,2308.7,2302.0,15.0,25.99999999999909,LOSS,-0.5769230769230971,3,1.7333333333335759,0.5999999999997575,1,2.0,half,0.0
2024-04-08,1800,UP,2024-04-08 18:10:00,2359.5,2357.25,2366.5,22.5,35.0,LOSS,-0.6428571428571429,1,1.1111111111111112,0.40000000000004043,1,2.0,half,0.0
2024-04-09,1800,UP,2024-04-09 18:20:00,2373.6,2371.8,2379.6,17.99999999999727,30.0,WIN,2.0,3,0.05555555555551345,3.8888888888894786,1,2.0,half,0.0
2024-04-10,1800,UP,2024-04-10 18:10:00,2372.3,2371.3999999999996,2375.1000000000004,9.000000000005457,14.00000000000091,LOSS,-0.6428571428574908,1,1.5555555555547134,0.33333333333282805,1,2.0,half,0.0
2024-04-11,1800,DOWN,2024-04-11 18:10:00,2349.4,2354.4,2345.7999999999997,50.0,18.00000000000182,WIN,2.0,1,0.3199999999999818,1.0400000000000547,1,2.0,half,0.0
