orb,rr,confirm,trades,win_rate,total_r,avg_r,avg_mae,avg_mfe
1100,3.0,2,383,0.19419642857142858,-35.0,-0.078125,0.8967005142974942,1.2340245374806575
1100,1.5,3,411,0.3409090909090909,-36.0,-0.08181818181818182,0.82185411230249,0.9234737517880991
1100,2.0,2,407,0.27232142857142855,-41.0,-0.09151785714285714,0.8685550933424538,1.0752465100864925
1100,3.0,3,367,0.17954545454545454,-51.0,-0.1159090909090909,0.8897033818547828,1.2000538894568593
1100,2.0,3,394,0.2590909090909091,-52.0,-0.11818181818181818,0.8650140710208377,1.056106476518296
1100,2.5,3,377,0.20681818181818182,-58.5,-0.13295454545454546,0.8842712934584462,1.142488895294713
1800,2.0,3,487,0.36072144288577157,53.0,0.1062124248496994,0.8473608736077494,1.2024861691427982
1800,1.5,2,497,0.42376237623762375,38.0,0.07524752475247524,0.8079130097607317,1.0057947891375008
1800,1.5,1,502,0.42011834319526625,30.5,0.0601577909270217,0.8232847173457957,1.016232987115053
1800,1.5,3,491,0.4168336673346693,29.0,0.05811623246492986,0.8129340114885789,1.0292273119851136
1800,1.0,1,505,0.5187376725838264,21.0,0.04142011834319527,0.7359737034644994,0.7852065157993742
1800,2.0,2,489,0.33663366336633666,21.0,0.041584158415841586,0.8698330051246723,1.1993606587536458
1800,2.5,2,479,0.2811881188118812,18.0,0.03564356435643564,0.8968678536382692,1.3428221547460888
1800,2.5,1,486,0.28402366863905326,18.0,0.03550295857988166,0.9140382748918014,1.349428734083274
1800,2.0,1,495,0.32938856015779094,6.0,0.011834319526627219,0.8874170906707877,1.1890661980592219
1800,2.5,3,467,0.2625250501002004,-8.5,-0.017034068136272545,0.8987441343691718,1.3598440608051525
1800,3.0,1,475,0.22682445759368836,-15.0,-0.029585798816568046,0.9420747505046083,1.4755846144056286
1800,3.0,2,461,0.2198019801980198,-17.0,-0.033663366336633666,0.9258777160297513,1.4608946815128756
1800,3.0,3,456,0.21643286573146292,-24.0,-0.04809619238476954,0.9203049472181936,1.4610691997058796
2300,1.5,3,396,0.3239130434782609,-23.5,-0.051086956521739134,0.9006012850174647,0.9526483420889779
2300,1.0,1,474,0.4639175257731959,-24.0,-0.049484536082474224,0.8151092582875102,0.7857881720132504
2300,1.5,2,426,0.33263157894736844,-31.0,-0.06526315789473684,0.8898774619208675,0.9617671741524275
2300,1.5,1,451,0.3443298969072165,-33.5,-0.06907216494845361,0.8981638453494438,0.9734477030507528
2300,2.0,1,429,0.2618556701030928,-48.0,-0.09896907216494845,0.9428199884334036,1.1210150972773056
2300,2.0,3,362,0.21956521739130436,-59.0,-0.1282608695652174,0.9376563421787838,1.072241583496462
2300,2.0,2,396,0.23157894736842105,-66.0,-0.13894736842105262,0.9367822860400822,1.1040704520863047
2300,2.5,2,370,0.16210526315789472,-100.5,-0.21157894736842106,0.9510299691834732,1.183033500964343
2300,2.5,3,335,0.14565217391304347,-100.5,-0.2184782608695652,0.9544931205806302,1.1533375743072711
2300,3.0,2,358,0.13052631578947368,-110.0,-0.23157894736842105,0.9618473634395274,1.2480062706755362
2300,2.5,1,395,0.16494845360824742,-115.0,-0.23711340206185566,0.9805192205710727,1.2045627222063795
2300,3.0,3,318,0.10434782608695652,-126.0,-0.27391304347826084,0.9602667094653519,1.2054312426362954
2300,3.0,1,378,0.11752577319587629,-150.0,-0.30927835051546393,0.995773218809315,1.2653746133070354
