orb,close_confirmations,rr,sl_mode,buffer_ticks,trades,wins,losses,win_rate,total_r,avg_r
1000,2,1.5,half,15.0,484,203,281,0.4194214876033058,23.5,0.04855371900826446
1000,2,2.0,half,5.0,484,169,315,0.34917355371900827,23.0,0.047520661157024795
1800,1,1.5,half,5.0,502,210,292,0.41832669322709165,23.0,0.045816733067729085
1000,2,1.5,full,0.0,465,195,270,0.41935483870967744,22.5,0.04838709677419355
1000,2,1.5,full,5.0,465,195,270,0.41935483870967744,22.5,0.04838709677419355
1000,2,1.5,,0.0,465,195,270,0.41935483870967744,22.5,0.04838709677419355
1000,2,1.5,full,15.0,465,195,270,0.41935483870967744,22.5,0.04838709677419355
1000,2,1.5,full,20.0,465,195,270,0.41935483870967744,22.5,0.04838709677419355
1000,2,1.5,full,10.0,465,195,270,0.41935483870967744,22.5,0.04838709677419355
1000,1,2.0,half,5.0,503,175,328,0.34791252485089463,22.0,0.0437375745526839
1000,1,2.5,,0.0,476,142,334,0.29831932773109243,21.0,0.04411764705882353
1000,1,2.5,full,15.0,476,142,334,0.29831932773109243,21.0,0.04411764705882353
1000,1,2.5,full,5.0,476,142,334,0.29831932773109243,21.0,0.04411764705882353
1000,1,2.5,full,20.0,476,142,334,0.29831932773109243,21.0,0.04411764705882353
1000,1,2.5,full,0.0,476,142,334,0.29831932773109243,21.0,0.04411764705882353
1000,1,2.5,full,10.0,476,142,334,0.29831932773109243,21.0,0.04411764705882353
1000,1,2.5,half,20.0,494,147,347,0.2975708502024291,20.5,0.04149797570850203
1000,3,2.5,,0.0,428,128,300,0.29906542056074764,20.0,0.04672897196261682
